simulation_num,infall_lbtime,angle_satellite_L_infall,z=0 all,bring_by_lmc,bring_by_smc
1,0.2440688043735172,0.8056593484293908,0.8125700863481989,True,False
1,2.3886229668078847,0.2677398513296151,0.058014370488495,False,False
1,2.7757593887030216,0.9932943303645758,0.9669234737041784,True,True
1,0.8630482182421588,0.8743899757911405,0.8626413104251602,False,False
1,2.3886229668078847,0.9948799304422818,0.8450755380062361,True,False
1,2.905077276481582,0.9856955292759776,0.9878373118436938,True,True
1,0.6140155728280603,0.9827017651199448,0.851172222478967,False,True
1,0.1217754132040939,0.9846757496446308,0.9861526746988054,False,True
1,2.7757593887030216,0.957073960621364,0.9353233782570644,False,False
1,2.003198186465648,0.5455026555360513,0.653884070869314,False,False
1,8.228588292094337,0.1754226971073466,0.212332019959547,False,False
1,2.7757593887030216,0.9271766941287346,0.9340686608530252,True,True
1,0.1217754132040939,0.9703373043907044,0.9548240868068564,False,True
1,0.738307230233132,0.9160797602222508,0.7105431838487217,True,True
1,3.2934596140234613,0.5977969415640174,0.4454419084190799,False,False
1,1.7474920204980342,0.7951208909754728,0.774829929549309,False,False
1,3.940185698732785,0.2651082425353626,0.4502275857588436,False,False
1,2.905077276481582,0.8042234474026404,0.7179871918406381,False,False
1,0.738307230233132,0.8884478218623669,0.8968131932953934,False,True
1,2.2599307390968955,0.8966351215242894,0.8730670603857815,False,False
1,1.113840465038828,0.7792828072867489,0.8294620522603761,False,False
1,8.413920308355818,0.0516322999315091,0.0179254679757749,False,False
1,10.453697508336743,0.1502381766866989,0.747013959468218,False,False
1,10.777381578528257,0.6198937495056951,0.6656866040992715,False,False
1,2.905077276481582,0.729814600077483,0.9990684510285774,True,True
1,0.1217754132040939,0.8443862194223926,0.8593262034618516,False,False
1,10.828207546704103,0.5184166835830023,0.9693635282275216,True,False
1,11.023208547516951,0.3986136911355845,0.5884009054792585,False,False
1,10.87818242838855,0.5173702342282065,0.9032784273753364,False,False
1,11.11598066917274,0.324668970573115,0.1670460963282005,False,False
1,3.681819216440495,0.029944984068907,0.5328611499179403,False,False
1,11.41822317550702,0.6114791817435435,0.576841062738716,False,False
1,2.3886229668078847,0.9797548427614796,0.6782557789786237,True,True
1,0.2440688043735172,0.9741884397792012,0.9777701413212482,False,True
1,2.7757593887030216,0.8365199760291255,0.9548438993801384,True,True
1,10.72569965202838,0.9463963960062874,0.3373510573869258,False,False
1,11.1612450978698,0.716133475591164,0.3494664056322618,False,False
1,2.51750524070674,0.9882219383983404,0.8780486506887734,True,True
1,0.1217754132040939,0.9666322623456264,0.9333652833328008,False,True
1,0.2440688043735172,0.9437445377876944,0.9717131692165882,False,True
1,2.6465550156303053,0.939137383008126,0.2829234717512565,True,True
1,2.905077276481582,0.998445557951268,0.9783444053775808,True,True
1,2.905077276481582,0.9674649449190824,0.9623653565294245,True,True
1,8.413920308355818,0.0001961567414203,0.092030464093471,False,False
1,2.7757593887030216,0.3853878452129279,0.8627965196814403,True,True
1,0.1217754132040939,0.971850255731078,0.9566571000962052,False,True
1,2.7757593887030216,0.805688735345615,0.9726039353840972,True,True
1,11.1612450978698,0.973853172151192,0.3757470172986482,False,False
1,2.7757593887030216,0.9467874422804932,0.2952393622397784,True,True
1,0.4902039074431355,0.9922543773685358,0.9530260836057828,False,True
1,0.1217754132040939,0.9587860750576924,0.896562887079524,False,True
1,11.798372372607526,0.5694101921705564,0.5564012208145861,False,False
1,2.7757593887030216,0.4123637790580132,0.7466492969330777,True,True
1,2.6465550156303053,0.988955454114883,0.9749910349504444,True,True
1,0.2440688043735172,0.9962789168284923,0.9967251382077852,False,True
1,10.777381578528257,0.3367462700075355,0.1848076574685934,False,False
1,2.7757593887030216,0.9979254492695606,0.9773556447373944,True,True
1,11.538061781601847,0.2711564349147196,0.1834881315675224,False,False
1,10.338201724601864,0.409983841730098,0.1164829559443307,False,False
1,2.7757593887030216,0.7790814313942526,0.9164759222873026,True,True
1,10.39643952520098,0.0821935857154796,0.3376124841917856,False,False
1,2.7757593887030216,0.9959338730137824,0.9923869030546832,True,True
1,2.7757593887030216,0.6999996896668218,0.973546504128138,True,True
1,2.905077276481582,0.9867550771262656,0.6375073837592363,True,True
2,1.366229068149028,0.1515000133782943,0.11715393895656964,False,False
2,1.8752167985703312,0.6852514203726463,0.46348830796642987,False,False
2,1.8752167985703312,0.6138853434832285,0.11479430494961734,False,False
2,2.3886229668078847,0.9957499413818496,0.962219964720916,True,True
2,2.5175052407067398,0.9152206759354538,0.6327468146281208,True,True
2,0.24406880437351722,0.6331352420140857,0.5904642089737978,False,False
2,0.6140155728280603,0.860215608047211,0.8185243592038525,False,False
2,2.7757593887030216,0.4392253466433611,0.059307356496424435,False,False
2,4.326157306199273,0.7916896359918049,0.8379177537056189,False,False
2,2.6465550156303053,0.1406691848639574,0.2664643132010078,False,False
2,4.326157306199273,0.9331886619723623,0.9301325086874846,False,False
2,1.7474920204980342,0.7045223559424574,0.9235186262169987,False,False
2,2.905077276481582,0.9678194793425039,0.9617023478629092,True,True
2,2.2599307390968955,0.5960341978832551,0.20675439749984553,False,False
2,2.2599307390968955,0.2393255726894063,0.1471737445598697,True,True
2,2.7757593887030216,0.519454357932684,0.8274445977218714,True,True
2,2.1314535019003324,0.9798912944362539,0.9721654435677718,True,True
2,2.7757593887030216,0.9110445508468099,0.8879815690681229,True,True
2,2.3886229668078847,0.8901868164002898,0.09270800640809912,True,True
2,2.1314535019003324,0.9206471041002451,0.985902315876529,True,True
2,6.188775732584794,0.7118518631333983,0.6116800831121927,False,False
2,4.581906468296719,0.43167151669438836,0.30863053355395664,False,False
2,9.481880851146828,0.8050034708257642,0.021054718825114838,False,False
2,3.681819216440495,0.6012952405045906,0.35945201479368316,False,False
2,2.2599307390968955,0.9992481638629146,0.995938279972023,True,True
2,2.7757593887030216,0.9918319674742387,0.9653748263184073,True,True
2,5.0880587024617725,0.6006181460292743,0.4188656850996363,False,False
2,2.3886229668078847,0.8902906437745283,0.47455045410538166,True,True
2,1.8752167985703312,0.9981341531151884,0.960073181717058,True,True
2,6.655326782079149,0.6686340184210741,0.5340888908664128,False,False
2,2.3886229668078847,0.9597724222919743,0.8903746536529528,True,True
2,4.709189009500897,0.7790154628168677,0.7003833762381313,False,False
2,8.321979853855655,0.8029993942978217,0.7501882470768362,False,False
2,2.2599307390968955,0.7872280299648817,0.4460494450267535,True,True
2,8.321979853855655,0.6380385214306126,0.49841103636649975,False,False
2,2.5175052407067398,0.9107056279271225,0.17898459910224168,True,True
2,6.882165193627881,0.6246174779389939,0.5847264574230889,False,False
2,2.2599307390968955,0.9177493362160634,0.8937213857126265,True,True
2,2.3886229668078847,0.9947774689458544,0.9996012951223439,True,True
2,9.1775402188924,0.7235737453512696,0.0034897727913780208,False,False
2,5.461632805879106,0.7875903052635835,0.6816154067347217,False,False
2,8.767228210981246,0.7243839568070374,0.13362466039431875,False,False
2,1.6200873508101845,0.715301851506613,0.5905988822756967,True,True
2,8.321979853855655,0.8990969146673332,0.6994831773070521,True,False
2,9.69686109456654,0.42336061602275277,0.4586425984588076,True,True
2,11.33523270658243,0.9917872262784907,0.07798301849442445,False,False
2,1.2398514058860202,0.9295117508277588,0.7957078817944758,True,True
2,9.25556523749806,0.02591262657045057,0.3387286188337959,False,False
2,10.509967290410318,0.21224027980983634,0.7110436874851528,False,False
2,2.5175052407067398,0.8512930703705501,0.9607925608306037,True,False
2,1.492982539484362,0.9640414339068998,0.7074182497569153,True,True
2,9.407725902486277,0.42840529636081714,0.3504025453694141,True,False
2,8.767228210981246,0.7210332999629416,0.5376541658786268,False,False
2,2.2599307390968955,0.3236250731443089,0.7245349416292743,False,False
2,8.767228210981246,0.5448911383742441,0.8758116888643185,False,False
2,8.321979853855655,0.9670694493678841,0.6643363638527828,False,False
2,6.188775732584794,0.7240775141710597,0.6935859830524562,False,False
2,9.481880851146828,0.8052244499377152,0.3709766852596408,False,False
2,2.3886229668078847,0.7618931902180685,0.6840664858170933,True,True
2,2.2599307390968955,0.7583118296588286,0.9853156653806336,False,False
2,2.003198186465648,0.9171385537028492,0.5729353003168893,True,True
2,12.131493643643282,0.9716200305118463,0.37992744971735715,False,False
2,2.2599307390968955,0.9982817796153545,0.6212283245410801,True,True
2,2.5175052407067398,0.9390726088244965,0.9969658609850549,True,True
2,8.767228210981246,0.5909479337167901,0.5528762688404802,False,False
2,8.767228210981246,0.632126411734349,0.7321996915809262,False,False
2,2.3886229668078847,0.987794883417887,0.9451884809376643,True,True
2,3.811087972120325,0.03105035951973549,0.8426190277717052,False,False
2,2.003198186465648,0.9929791706952903,0.9917764445652508,True,True
2,2.3886229668078847,0.9699543177693289,0.944699149649864,True,True
2,2.2599307390968955,0.9912605741717889,0.9210152451532712,True,True
2,2.3886229668078847,0.999216766816878,0.8456349311560554,True,True
2,2.5175052407067398,0.8289996588093366,0.24239428919189604,True,True
2,8.767228210981246,0.7820573926193686,0.05296166028466026,False,False
